 ,GENG-B,Title,Country.x,Country.y,DocDate,InForce,End,GEN.ID,IEA,ECOLEX,James,Xiaolei,Frederic,Google in English,Download Treaty,Amended by,Suspended by,Amends,Supersedes,Lineage,Sequence,Secretariat,Website,AdoptPlace,FullText,DocLangs,Keywords,Data,Articles..etc.,Issue,enabledByTreaty,searchDate,obsolete,abstract,region,subject,officialPublication,Form,Type,Mutuality,Subject,Target,Species,Area
?,GENG-2007,Treaty between the government of Afghanistan and His Britannic Majesty's Government for the establishment of neighbourly relations,AFG,GBR,1921-11-22,NA,NA,,NA,NA,,,No information on validity | Added as GENG-2007 by Frederic from the International Freshwater Treaties Database,,No,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
%,GENG-203,"Terms Of Reference Of The Helmand River Delta Commission And An Interpretive Statement Relative Thereto, Agreed By Conferees Of",AFG,IRN,1950-09-07,NA,NA,,IEA-1853,NA,,Very likely still in force | http://www.unep.org/experts/default.asp?page=home&ExpertID=19&SessionID=198 | http://transboundarywater.geo.orst.edu/publications/atlas/atlas_pdf/4_Treaties_asia.pdf,Listed in International Freshwater Treaties Database,"http://www.google.ch/search?q=Terms+Of+Reference+Of+The+Helmand+River+Delta+Commission+And+An+Interpretive+Statement+Relative+Thereto,+Agreed+By+Conferees+Of+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22suppla",Yes,,,,,Not Yet Assigned,100,Secretariat not yet identified,NA,NA,NA,NA,NA,,,Water,NA,NA,NA,NA,NA,NA,NA,,,,,,,
?,GENG-1969,The Afghan-Iranian Helmand-River Water Treaty (with 2 protocols),AFG,IRN,1973-03-20,NA,NA,,NA,NA,,,No information on validity | Added as GENG-1969 by Frederic in subject area Water from http://www.internationalwaterlaw.org/documents/regionaldocs/1973_Helmand_River_Water_Treaty-Afghanistan-Iran.pdf,,Yes,,,,,,,,,,,,,,,Water,,,,,,,,,,,,,,
?,GENG-267,Protocol between the Union of Soviet Socialist Republics and Afghanistan on the joint execution of works for the integrated utilization of the water resources in the frontier section of the Amudarya river,AFG,RUS,1958-06-25,1958-06-25,NA,,NA,TRE-149847,,,No end date listed in treaty text nor UN Treaty Collection | Listed in International Freshwater Treaties Database | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Protocol+between+the+Union+of+Soviet+Socialist+Republics+and+Afghanistan+on+the+joint+execution+of+works+for+the+integrated+utilization+of+the+water+resources+in+the+frontier+section+of+the+Amudarya+river+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVdinFYqisAHx1YHABQ,Yes,,,,,NA,NA,NA,www.ce.utexas.edu,Kabul,http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-149847.doc,Russian | Persian,international agreement-text | surface water,NA,NA,Water,NA,25/6/1958,FALSE,"The Government of the Union of Soviet Socialist Republics and Royal Government of Afghanistan, striving to further widen and strengthen of the economic cooperation between two countries, taking into account the interests of both countries in integrated utilization of the water resources in the frontier section of the Amudarya river, have agreed as follows: 1) The Government of the Union of Soviet Socialist Republics and the Royal Government of Afghanistan have agreed to cooperate in execution of works for joint integrated utilization of water resources in the section of the Amudarya river, boundary between USSR and Afghanistan, and in particular, in the section of the river at Kelif. The Parties shall additionally agree about principles, volumes, terms and other conditions for implementation of design and construction works aimed at integrated utilization of the Amudarya river water resources.",Central Asia,Water,,,,,,,,
?,GENG-951,Agreement Of Cooperation Regarding Maritime Fisheries Between Congo And Angola,AGO,COG,1985-10-22,,NA,GFG-638,IEA-666,TRE-151770,,,No end date listed in treaty text | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+Of+Cooperation+Regarding+Maritime+Fisheries+Between+Congo+And+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVbiZGcarswG4k4DwAg,Yes,,,,,,100,No known secretariat,,Luanda,,French,marine fisheries|fishing area,,,Fisheries,,,,,,,,Agreement,Agreement,,Fisheries Cooperation,,Fish,
%,GENG-935,Agreement Regarding Maritime Fisheries Between Angola And Spain,AGO,ESP,1984-11-02,NA,1987-05-03,GFG-624,IEA-654,TRE-151803,,,Treaty was terminated on 03.05.1987 with Spain entering the European Union under http://www.boe.es/buscar/doc.php?id=BOE-A-1987-12157 | Listed under http://www.boe.es/buscar/doc.php?id=BOE-A-1985-18893 | Not listed in UN Treaty Collection,http://www.google.ch/search?q=Agreement+Regarding+Maritime+Fisheries+Between+Angola+And+Spain+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVemAHYGrswGG3YDgBA,Yes,,,,,,100,No known secretariat,,Madrid,,Spanish,,,,Fisheries,,,,,,,,Agreement,Agreement,Reciprocal,Cooperation,Fisheries,Fish,
%,GENG-1011,Agreement between the European Economic Community and the Government of the People's Republic of Angola on fishing off Angola - Protocol establishing the fishing rights and financial contribution provided for in the Agreement between the European Economic Community and the Government of the People's Republic of Angola on fishing off Angola    ,AGO,EUU,1989-02-01,NA,2006-08-11,GFG-672,IEA-2344,TRE-152151,,,Agreement not in force anymore as confirmed by DG Maritime Affairs and Fisheries (e-mail) | Agreement was provisionally applied from 03.05.1987 onwards | Listed under http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21987A0919%2802%29&qid=1441096349399 | Listed under http://ec.europa.eu/world/agreements/prepareCreateTreatiesWorkspace/treatiesGeneralData.do?step=0&redirect=true&treatyId=7121,http://www.google.ch/search?q=Agreement+Between+The+European+Economic+Community+And+The+Government+Of+The+People's+Re+Public+Of+Angola+On+Fishing+In+The+Waters+Of+Angola+%22terminate%22+OR+%22supersede%22+OR+%22repeal%22+OR+%22replace%22+OR+%22expired%22+OR+%22supplant%22&hl=en&gws_rd=cr&ei=3NpRVYXpIIusswGAr4GwCQ,Yes,"GENG-1889, GENG-1890, GENG-1891, GENG-1892, GENG-1401, GENG-1529, GENG-1565, GENG-1620",,,,Angola-EEC FPA,100,No known secretariat,http://europa.eu.int,,,English,,,,Fisheries,,,,,,,,Agreement,Agreement,Directed,Access,AGO,Fish,AGO
?,GENG-1889,"Protocol defining, for the period 3 May 1989 to 2 May 1990, the fishing opportunities and financial compensation provided for in the Agreement between the European Economic Community and the Government of the People' s Republic of Angola on fishing off Angola",AGO,EUU,1992-04-07,1992-04-07,1990-05-02,,NA,NA,,,"Protocol was only signed on 07.04.1992, however, it already terminated on 02.05.1990 | Protocol was provisionally applied from 03.05.1989 onwards | Added as GENG-1889 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21989A0816%2804%29&qid=1441096349399",,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
%,GENG-1890,"Protocol defining, for the period 3 May 1990 to 2 May 1992, the fishing opportunities and financial compensation provided for in the Agreement between the European Economic Community and the Government of the people's Republic of Angola on fishing off Angola",AGO,EUU,1992-04-07,1992-04-07,1992-05-02,,NA,NA,,,Protocol was provisionally applied from 03.05.1990 onwards | Added as GENG-1890 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21990A1231%2808%29&qid=1441096349399,,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
?,GENG-1891,"Protocol defining, for the period from 3 May 1992 to 2 May 1994, the fishing possibilities and financial compensation provided for in the Agreement between the European Community and the Government of the People' s Republic of Angola on fishing off Angola",AGO,EUU,1995-06-29,1995-06-29,1994-05-02,,NA,NA,,,"Protocol was only signed on 29.06.1995, however, it already terminated on 02.05.1994 | Protocol was provisionally applied from 03.05.1992 onwards | Added as GENG-1891 by Frederic in subject area Fisheries from http://eur-lex.europa.eu/legal-content/EN/NOT/?uri=CELEX:21993A0316%2802%29&qid=1441096349399",,Yes,,,GENG-1011,,,,,,,,,,,,Fisheries,,,,,,,,,,,,,,
