manyID,Title,Begin,End,Signature,Force,AgreementType,DocType,GeogArea,gengID,ieaID,ecolexID,treatyID,Parties,verified,DocValidUntilDate,url,Notes,Download,MEA_type,Ambit,Region,subject_ecolex,subject_iea,Keywords,Lineage,Sequence,AdoptedIn,Languages,Appendices,Depository,DepositoryURL,Published,Abstract,Website1,Website2,Secretariat,SecretariatURL,UNEP,Supersedes,References,EnabledBy,AmendedBy,Lit,Data,Coded,Source,Checked_HUGGO,Confirmed_HUGGO,Changes,Modified,Coder
CC05WF_1983A,Agreement For Cooperation And Consultation Between The Central African States For The Conservation Of Wild Fauna,16.04.1983,NA,16.04.1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://iea.uoregon.edu/treaty/2955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added Title, Beg, Signature, url",1,Diego
CA06WF_1983A,Agreement Between The Central African States Concerning The Creation Of A Special Fund For The Conservation Of Wild Fauna,16.04.1983,NA,16.04.1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://iea.uoregon.edu/treaty/2956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added manyID, Title, Beg, Signature, url",1,Diego
AUT-HUN[PRE]_1984A,Agreement Between Austria And Hungary On Cooperation In The Protection Of The Environment,07.06.1984,31.12.9999,07.06.1984,08.11.1985,NA,NA,NA,NA,NA,NA,NA,AUT-HUN,NA,NA,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC006941/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1,Diego
AUS-CHN[MBE]_1986A,Agreement Between The Government Of Australia And The Government Of The Peoples Republic Of China For The Protection Of Migratory Birds And Their Environment,20.10.1986,31.12.9999,20.10.1986,01.09.1988,NA,NA,NA,NA,NA,NA,NA,AUS-CHN,NA,NA,http://www.austlii.edu.au/au/other/dfat/treaties/1988/22.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, End, Signature, Force, Parties, url","Added manyID, Title, Beg, End, Signature, Force, Parties, url",1,Diego
ARG-URY[HHS]_1987A,Cooperation Agreement Between The Argentine Republic And The Eastern Republic Of Uruguay To Prevent And Fight Against Incidents Of Pollution Of The Aquatic Environment Produced By Hydrocarbons And Other Harmful Substances,16.09.1987,31.12.9999,16.09.1987,29.10.1993,NA,NA,NA,NA,NA,NA,NA,ARG-URY,NA,NA,https://www.fao.org/faolex/results/details/es/c/LEX-FAOC043350/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1,Diego
FRA-HUN[ANH]_1987A,Agreement Between France And Hungary On Cooperation In The Field Of Animal Health,24.10.1987,NA,24.10.1987,NA,NA,NA,NA,NA,NA,NA,NA,FRA-HUN,NA,NA,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007685/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1,Diego
HUN-KOR[QPD]_1987A,Agreement On Cooperation In The Field Of Plant Protection And Plant Quarantine Between Hungary And The Popular Democratic Republic Of Korea,10.12.1987,NA,10.12.1987,NA,NA,NA,NA,NA,NA,NA,NA,HUN-KOR,NA,NA,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007688/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Parties, url","Added manyID, Title, Beg, Signature, Parties, url",1,Diego
CE04FU_1987A,Agreement Establishing The Economic Community Of Cattle Meat And Fishing Resources In UDEAC,18.12.1987,NA,18.12.1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC007162/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, url","Added manyID, Title, Beg, Signature, url",1,Diego
CAN-USA[RFC]_1988A,Red River Flood Control Agreement Between The United States Of America And Canada,30.08.1988,31.12.9999,30.08.1988,30.08.1988,NA,NA,NA,NA,NA,NA,NA,CAN-USA,NA,NA,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC010932/ | https://books.google.ch/books?id=US1ArbwHpfoC&pg=PP1&hl=es&source=gbs_selected_pages&cad=2#v=onepage&q&f=false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, Signature, Force, Parties, url","Added manyID, Title, Beg, Signature, Force, Parties, url",1,Diego
CSCBNS_1992A,Agreement On The Conservation Of Small Cetaceans Of The Baltic And North Seas,17.03.1992,31.12.9999,17.03.1992,29.03.1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/En/TRE-001139.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Title, Beg, End, Signature, Force, url","Added manyID, Title, Beg, End, Signature, Force, url",1,Diego
