manyID,Title,Begin,End,Signature,Force,AgreementType,DocType,GeogArea,gengID,ieaID,ecolexID,treatyID,Parties,verified,DocValidUntilDate,url,Notes,Download,MEA_type,Ambit,Region,subject_ecolex,subject_iea,Keywords,Lineage,Sequence,AdoptedIn,Languages,Appendices,Depository,DepositoryURL,Published,Abstract,Website1,Website2,Secretariat,SecretariatURL,UNEP,Supersedes,References,EnabledBy,AmendedBy,Lit,Data,Coded,Source,Checked_HUGGO,Confirmed_HUGGO,Changes,Modified,Coder
NVGTNR_1868A,Revised Convention On The Navigation Of The Rhine,1868-10-17,31.12.9999,1868-10-17,1869-07-01,A,M,R,GENG-0046,NA,TRE-000561,NVGTNR_1868A,NA,NA,NA,http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-000561.pdf,NA,No,NA,Regional/restricted,Europe,WATER,NA,authorization/permit  |  basin  |  court/tribunal  |  estuaries  |  harbour  |  inspection  |  intellectual property rights/patents  |  jurisdictional competence  |  navigation  |  river basin institution  |  transport/storage,NA,NA,Mannheim,German | French | Dutch,NA,NA,NA,"PrGS. 1869, p. 798, 836 UK Misc. No. 18 (1964) Cmnd.2421 $(en,fr)",NA,NA,NA,NA,NA,NA,NA,NA,NA,19631120|19721025|19791017,FALSE,FALSE,FALSE,NULL,1,"Title, Begin, End, Signature, Force, url",Updated url,1,Diego
BAD-CHE[LCT]_1884P,Additional Convention Between Switzerland Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries,1884-09-21,NA,1884-09-21,NA,P,M,NA,GENG-0077,IEA-2587,NA,BAD-CHE[LCT]_1884P,NA,NA,NA,http://iea.uoregon.edu/pages/view_treaty.php?t=1884-FishingInLakeConstance.DE.txt&par=view_treaty_html,NA,No,MEA (Agreement),NA,NA,NA,FISHS and WATER,NA,Rhine - Lake Constance Fishing,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internationale Gewasserschutz-Kommission fur den Bodensee,http://www.igkb.de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diego
BAD-CHE[LCT]_1884P,Protocol To The Additional Convention Between Switzerland Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries,1884-09-21,NA,1884-09-21,NA,P,M,NA,GENG-0078,IEA-4518,NA,BAD-CHE[LCT]_1884P,NA,NA,NA,https://iea.uoregon.edu/treaty-text/4518,NA,No,MEA (Protocol),NA,NA,NA,FISHS and WATER,NA,Rhine - Lake Constance Fishing,401,NA,NA,NA,NA,NA,NA,NA,NA,NA,Internationale Gewasserschutz-Kommission fur den Bodensee,http://www.igkb.de,NA,NA,NA,NA,NA,NA,NA,NA,NULL,1,"Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",New url. New MainText translated to English from German using Google Translate.,1,Diego
TRSFRR_1885A,Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin,1885-06-30,31.12.9999,1885-06-30,1886-06-06,A,M,R,GENG-0084,IEA-2588,TRE-000072,TRSFRR_1885A,NA,not verified,NA,https://www.fedlex.admin.ch/eli/cc/9/99_97_99/fr,"No repository found, not clear whether still in force",No,MEA (Agreement),Regional/restricted,Europe,FISHS,FISHS and WATER,NA,Rhine - Lake Constance Fishing,500,Berlin,German | Dutch,NA,NA,NA,RGBL. 1886 p.192,NA,NA,NA,Secretariat not yet identified,No Secretariat Exists,NA,NA,NA,NA,NA,NA,NA,NA,    Source:     http://www.admin.ch/ch/f/rs/i9/0.923.414.fr.pdf  ,1,"Title, Begin, End, Signature, Force, url, MainText","Corrected Force. Added url, MainText",1,Diego
RS10NR_1900A,Convention Between The Riverine States Of The Rhine Respecting Regulations Governing The Transport Of Corrosive And Poisonous Substances (Amendments To Annex B Of Protocol 34 Of 1868 Revised Convention On The Navigation Of The Rhine),11.05.1900,NA,11.05.1900,01.07.1900,E,M,NA,GENG-0129,IEA-2593,NA,RS11NR_1900A34,NA,NA,NA,https://iea.uoregon.edu/treaty/2593,NA,No,MEA (Agreement),NA,NA,NA,WATER,NA,Rhine Pollution,10004,NA,NA,NA,NA,NA,NA,NA,NA,NA,Central Commission for Navigation on the Rhine,http://ccr-zkr.org/,NA,NA,NA,NA,NA,TRUE,TRUE,NA,"    Source:     Parry, The Consolidated Treaty Series, vol. 188, pp. 398.  ",1,"Title, Begin, Signature, Force, url",Added url,1,Diego
LR05TR_1909A,Convention Laying Down Regulations For The Carriage Of Petroleum And Petroleum Products In Tankers On The Rhine,21.05.1909,NA,21.05.1909,17.03.1910,A,M,NA,GENG-0175,NA,NA,LR05TR_1909A,NA,NA,NA,https://iea.uoregon.edu/treaty/4668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,    Source:     https://books.google.com/books?id=jzn7nrno_EcC&amp%3Bpg=PA280&amp%3Blpg=PA280&am…  ,1,"Title, Begin, Signature, Force, url",Added url,1,Diego
DEU-DNK[GDF]_1922A,Agreement Between Denmark And Germany For The Settlement Of Questions Relating To Watercourses And Dikes On The German-Danish Frontier,10.04.1922,01.03.1960,10.04.1922,07.06.1922,A,B,L,GENG-0211,NA,NA,DEU-DNK[GDF]_1922A,DEU-DNK,NA,NA,https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,1,"Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText","Added url, MainText, AnnexText.",1,Diego
DEU-DNK[RFF]_1922A,Agreement Between Denmark And Germany Regarding Common Fishery Rights In The Flensburg Fjord,10.04.1922,01.03.1960,10.04.1922,07.06.1922,A,B,L,GENG-0212,NA,NA,DEU-DNK[RFF]_1922A,DEU-DNK,NA,NA,https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,1,"Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText","Added url, MainText.",1,Diego
DEU-DNK[BGF]_1922A,Agreement Between Denmark And Germany Regarding Fisheries And Reed Cutting In The Rudebol Lake And The Videa River And Regarding The Cutting Of Hay And Bulrushes In The Gotteskoog Together With Final Protocol,10.04.1922,01.03.1960,10.04.1922,07.06.1922,P,B,L,GENG-0213,NA,NA,DEU-DNK[BGF]_1922A,DEU-DNK,NA,NA,https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,1,"Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText","Added url, MainText.",1,Diego
DEU-DNK[FBF]_1922A,Agreement Between Denmark And Germany Regarding Fisheries On The Breitgrund With Final Protocol,10.04.1922,01.03.1960,10.04.1922,07.06.1922,P,B,L,GENG-0214,NA,NA,DEU-DNK[FBF]_1922A,DEU-DNK,NA,NA,https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NULL,1,"Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText","Added url, MainText.",1,Diego
