"","Title","Begin","End","Signature","Force","Confirmed_HUGGO","Notes","Coder","Coded","verified","url","Parties","MEA_type"
"1","Revised Convention On The Navigation Of The Rhine","1868-10-17","31.12.9999","1868-10-17","1869-07-01","Title, Begin, End, Signature, Force, url",NA,"Diego",FALSE,NA,"http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-000561.pdf",NA,NA
"2","Additional Convention Between Switzerland Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries","1884-09-21",NA,"1884-09-21",NA,NA,NA,"Diego",NA,NA,"http://iea.uoregon.edu/pages/view_treaty.php?t=1884-FishingInLakeConstance.DE.txt&par=view_treaty_html",NA,"MEA (Agreement)"
"3","Protocol To The Additional Convention Between Switzerland Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries","1884-09-21",NA,"1884-09-21",NA,"Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://iea.uoregon.edu/treaty-text/4518",NA,"MEA (Protocol)"
"4","Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin","1885-06-30","31.12.9999","1885-06-30","1886-06-06","Title, Begin, End, Signature, Force, url, MainText","No repository found, not clear whether still in force","Diego",NA,"not verified","https://www.fedlex.admin.ch/eli/cc/9/99_97_99/fr",NA,"MEA (Agreement)"
"5","Convention Between The Riverine States Of The Rhine Respecting Regulations Governing The Transport Of Corrosive And Poisonous Substances (Amendments To Annex B Of Protocol 34 Of 1868 Revised Convention On The Navigation Of The Rhine)","11.05.1900",NA,"11.05.1900","01.07.1900","Title, Begin, Signature, Force, url",NA,"Diego",NA,NA,"https://iea.uoregon.edu/treaty/2593",NA,"MEA (Agreement)"
"6","Convention Laying Down Regulations For The Carriage Of Petroleum And Petroleum Products In Tankers On The Rhine","21.05.1909",NA,"21.05.1909","17.03.1910","Title, Begin, Signature, Force, url",NA,"Diego",NA,NA,"https://iea.uoregon.edu/treaty/4668",NA,NA
"7","Agreement Between Denmark And Germany For The Settlement Of Questions Relating To Watercourses And Dikes On The German-Danish Frontier","10.04.1922","01.03.1960","10.04.1922","07.06.1922","Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf","DEU-DNK",NA
"8","Agreement Between Denmark And Germany Regarding Common Fishery Rights In The Flensburg Fjord","10.04.1922","01.03.1960","10.04.1922","07.06.1922","Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf","DEU-DNK",NA
"9","Agreement Between Denmark And Germany Regarding Fisheries And Reed Cutting In The Rudebol Lake And The Videa River And Regarding The Cutting Of Hay And Bulrushes In The Gotteskoog Together With Final Protocol","10.04.1922","01.03.1960","10.04.1922","07.06.1922","Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf","DEU-DNK",NA
"10","Agreement Between Denmark And Germany Regarding Fisheries On The Breitgrund With Final Protocol","10.04.1922","01.03.1960","10.04.1922","07.06.1922","Title, Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2010/v10.pdf","DEU-DNK",NA
"11","Convention Between The Republic Of Finland And The Russian Socialist Federal Soviet Republic Regarding Fishing Regulations In The Gulf Of Finland","20.09.1922",NA,"20.09.1922","20.11.1922","Title, Begin, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2019/v19.pdf","FIN-RUS",NA
"12","Convention Between Finland And Russia Regarding Fishing And Sealing In The Territorial Waters Of Both Countries In The Arctic Ocean","21.10.1922",NA,"21.10.1922","02.07.1924","Title, Begin, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2029/v29.pdf","FIN-RUS",NA
"13","Convention Between Finland And Russia With Regard To Fishing And Sealing On Lake Ladoga Helsingfors","28.10.1922","02.07.1934","28.10.1922","02.07.1924","Title, Begin, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2029/v29.pdf","FIN-RUS",NA
"14","Convention Between The Republic Of Finland And The Russian Socialist Federal Soviet Republic Concerning The Maintenance Of River Channels And The Regulation Of Fishing On Watercourses Forming Part Of The Frontier Between Finland And Russia Helsingfors","28.10.1922",NA,"28.10.1922",NA,"Title, Begin, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://iea.uoregon.edu/treaty-text/55","FIN-RUS",NA
"15","Protocol To The Agreement Between The United States Of America And Canada To Regulate The Level Of Lake Of The Woods","24.02.1925","31.12.9999","24.02.1925","22.05.1926","Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://www.ijc.org/sites/default/files/2018-08/1925%20Lake%20of%20the%20Woods%20Convention%20and%20Protocol.pdf",NA,NA
"16","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","17.06.1925",NA,"17.06.1925","08.02.1928","Title, Begin, End, Signature, Force, url",NA,"Diego",FALSE,NA,"https://iea.uoregon.edu/treaty/2603",NA,NA
"17","Exchange Of Notes Accepting The Protocol Signed At Kigoma 5 August 1924 Relative To The Tanganyika-Ruanda-Urundi Frontier","17.05.1926",NA,"17.05.1926","17.05.1926","Title, Begin, Signature, Force, url",NA,"Diego",FALSE,NA,"http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-153251.doc",NA,NA
"18","Agreement Regulating The Use Of The Waters Of The Kunene River For The Purposes Of Generating Hydraulic Power And Of Inundation And Irrigation In The Mandated Territory Of South West Africa","01.07.1926",NA,"01.07.1926","01.07.1926","Begin, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%2070/v70.pdf","PRT-ZAF",NA
"19","Convention Between The Republic Of Finland And The Union Of Soviet Socialist Republics Concerning Reindeer","04.07.1933","13.03.1948","04.07.1933","03.03.1934","Title, Begin, End, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%20149/v149.pdf","FIN-RUS",NA
"20","Convention Amending The Convention Between The Union Of Soviet Socialist Republics And Finland Regarding The Floating Of Timber In Watercourses Flowing From The Union Of Soviet Socialist Republics Into Finland And Vice Versa","15.10.1933",NA,"15.10.1933","07.02.1934","Title, Begin, End, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%20149/v149.pdf","FIN-RUS",NA
"21","International Convention Concerning The Export And Import Of Animal Products (Other Than Meat Meat Preparations Fresh Animal Products Milk And Milk Products)","20.02.1935","31.12.9999","20.02.1935","06.12.1938","Begin, End, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/pages/LONViewDetails.aspx?src=LON&id=572&chapter=30&clang=_en",NA,NA
"22","Convention Between Finland And Norway Regarding New Regulations For Fishing In The Pasvik River (Pasvikelva)","21.04.1938","20.05.1953","21.04.1938",NA,"Title, Begin, End, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%20188/v188.pdf","FIN-NOR",NA
"23","Convention Between Finland And Norway Regarding New Regulations For Fishing In The Tana River","21.04.1938","20.05.1953","21.04.1938",NA,"Title, Begin, End, Signature, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/LON/Volume%20188/v188.pdf","FIN-NOR",NA
"24","COMPLEMENTARY BORDER TREATY BETWEEN THE REPUBLIC OF PARAGUAY AND ARGENTINA","05.07.1939","31.12.9999","05.07.1939","10.11.1939","Title, Begin, Signature, Force, url, MainText, AppendixText, AnnexText",NA,"Diego",NA,NA,"https://www.mre.gov.py/cndl/index.php/normativas/tratados","ARG-PRY",NA
"25","Agreement Between The Governments Of The Republic Of Paraguay The Republic Of Argentina And The Republic Of Bolivia Concerning The Diversion Of Waters Of The River Pilcomayo","10.02.1941",NA,"10.02.1941",NA,"Title, Begin, Signature, Force, url",NA,"Diego",NA,NA,"https://iea.uoregon.edu/treaty/4420",NA,"MEA (Agreement)"
"26","Convention On International Civil Aviation Annex 16 Aircraft Noise","07.12.1944","31.12.9999","07.12.1944","04.04.1947","Title, Begin, End, Signature, Force, url","Still in force as listed on New Zealand's treaty database under http://www.treaties.mfat.govt.nz/search/results | Listed on US Department of State's webpage, however, no overview about signing dates, raftications, etc.","Diego",FALSE,"verified","http://www.ecolex.org/server2neu.php/libcat/docs/TRE/Full/En/TRE-000461.txt",NA,NA
"27","Protocol Amending The 1937 International Agreement For The Regulation Of Whaling","02.12.1946","31.12.9999","02.12.1946","05.02.1948","Title, Begin, Signature, Force, url",NA,"Diego",NA,NA,"http://www.austlii.edu.au/au/other/dfat/treaties/1948/5.html",NA,NA
"28","Agreement Establishing The South Pacific Commission","06.02.1947","31.12.9999","06.02.1947","29.07.1948","Title, Begin, End, Signature, Force, url",NA,"Diego",FALSE,NA,"https://www.ecolex.org/details/treaty/agreement-establishing-the-south-pacific-commission-tre-144643/",NA,NA
"29","Convention On The International Maritime Organization","06.03.1948","31.12.9999","06.03.1948","17.03.1958","Title, Begin, End, Signature, Force, url","Still in force | https://treaties.un.org/Pages/ViewDetails.aspx?src=TREATY&mtdsg_no=XII-1&chapter=12&lang=en | http://www.imo.org/en/About/Membership/Pages/MemberStates.aspx","Diego",FALSE,"verified","https://treaties.un.org/Pages/ViewDetails.aspx?src=IND&mtdsg_no=XII-1&chapter=12&clang=_en",NA,NA
"30","Convention Concerning The Regime Of Navigation On The Danube","18.08.1948","31.12.9999","18.08.1948","11.05.1949","Title, Begin, End, Signature, Force, url",NA,"Diego",FALSE,NA,"https://treaties.un.org/Pages/showDetails.aspx?objid=080000028016253e",NA,NA
"31","International Convention For The Permanent Control Of Outbreak Areas Of The Red Locust","22.02.1949","31.12.9999","22.02.1949","30.06.1949","Title, Begin, End, Signature, Force, url, MainText",NA,"Diego",NA,NA,"https://treaties.un.org/doc/Publication/UNTS/Volume%2093/volume-93-I-1296-English.pdf",NA,NA
"32","Convention On Road Traffic","19.09.1949","31.12.9999","19.09.1949","26.03.1952","Title, Begin, End, Signature, Force, url",NA,"Diego",FALSE,NA,"https://treaties.un.org/pages/ViewDetailsV.aspx?src=TREATY&mtdsg_no=XI-B-1&chapter=11&Temp=mtdsg5&clang=_en",NA,NA
