Title,Begin,End,Signature,Force,Term,Grounds,Domain,TypeAgree,TypeAmbit,Region,Subject,Lineage,Location,Depository,Published,Secretariat,Website,TitleAlt,Language,Languages,Text,TextURL,Coder,Comments,Source
Treaty Between England And Castile,1351-08-01,1371-07-31,1351-08-01,1351-08-01,1371-07-31,,Environment,Agreement,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between England And Portugal,1353-10-20,1403-10-19,1353-10-20,1353-10-20,1403-10-19,,Environment,Agreement,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between England And France,1403-06-27,NA,1403-06-27,NA,NA,,Environment,Agreement,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between England And Burgandy,1407-03-10,NA,1407-03-10,1407-03-10,NA,,Environment,Agreement,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Of Commerce Between Great Britain And Sweden,1656-07-17,NA,1656-07-17,1656-11-14,NA,,Environment,Agreement,Bilateral,NA,Commerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between France And Spain Concerning The River Bidassoa,1683-10-19,NA,1683-10-19,NA,NA,,Environment,Agreement,Bilateral,Bidassoa River,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1713-04-11,NA,1713-04-11,1713-05-09,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Norwegian-Swedish Agreement Regarding Laplanders,1751-10-02,NA,1751-10-02,NA,NA,,Environment,Agreement,Bilateral,Lapland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1763-02-10,NA,1763-02-10,1763-03-10,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1783-10-03,NA,1783-10-03,NA,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between Great Britain And The USA Concerning Access Rights To The American North Atlantic,1783-10-03,NA,1783-10-03,NA,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Nootka Sound Convention,1790-10-28,NA,1790-10-28,1970-10-21,NA,,Environment,Agreement,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,en,NA,TRUE,NA,"Crisina, Moral",NA,NA
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1802-03-27,NA,1802-03-27,1802-04-18?,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Moral, Evrard",Changed: Force (from 18th April 1802 to 18th April 1802?) Information only found on Université Laval IAEDB website,https://www.iea.ulaval.ca/en/agreements/4028
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1814-05-30,NA,1814-05-30,1814-06-11?,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Moral, Evrard",Changed: Force (from 11th June 1814 to 11th June 1814?) Information only found on Université Laval IAEDB website,https://www.iea.ulaval.ca/en/agreements/4029
Convention Of Commerce Between The United Kingdom Of Great Britain And Ireland And The United States Of America And Declaration By United Kingdom Regarding St Helena,1815-07-03,1827-08-06,1815-07-03,1815-07-03,1827-08-06,,Environment,Agreement,Bilateral,NA,Commerce,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,1815-10-20,NA,1815-10-20,NA,NA,,Environment,Agreement,Bilateral,North Atlantic Ocean,Navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Convention Between The United Kingdom Of Great Britain And Ireland And The United States Of America Respecting Fisheries Boundary And The Restoration Of Slaves And Extending The Convention Of Commerce Between The United Kingdom Of Great Britain And Ireland And The United States Of America Of 3 July 1815,1818-10-20,NA,1818-10-20,1819-01-30,NA,,Environment,Amendment,Bilateral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Treaty Of Limits Between France And The Netherlands Concluded At Courtray,1820-03-28,NA,1820-03-28,NA,NA,,Environment,Agreement,Bilateral,NA,Delimitation,NA,Kortrijk,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Convention Regarding Navigation Fishing And Trading On The Pacific Ocean And Along The North West Coast Of America,1824-04-17,NA,1824-04-17,1825-01-11,NA,,Environment,Agreement,Bilateral,North East Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
Convention Between Great Britain And Russia Concerning The Limits Of Their Respective Possessions On The North West Coast Of America And The Navigation Of The Pacific Ocean,1825-02-28,1918-10-24,1825-02-28,1825-04-09,1918-10-24,,Environment,Agreement,Bilateral,North East Pacific Ocean,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"Crisina, Moral",NA,NA
