"","manyID","Title","Beg","End","Signature","Force","AgreementType","DocType","GeogArea","gengID","ieaID","ecolexID","treatyID","Parties","verified","DocValidUntilDate","url","Notes","Download","MEA_type","Ambit","Region","subject_ecolex","subject_iea","Keywords","Lineage","Sequence","AdoptedIn","Languages","Appendices","Depository","DepositoryURL","Published","Abstract","Website1","Website2","Secretariat","SecretariatURL","UNEP","Supersedes","References","EnabledBy","AmendedBy","Lit","Data","Coded"
"1","TRTYEC_1351A","Treaty Between England And Castile","1351-08-01","1371-07-31","1351-08-01","1351-08-01","A","B","L","GENG-0001",NA,NA,"TRTYEC_1351A","ESP-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","TRTYEP_1353A","Treaty Between England And Portugal","1353-10-20","1403-10-19","1353-10-20","1353-10-20","A","B","L","GENG-0002",NA,NA,"TRTYEP_1353A","GBR-PRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","TRTYEF_1403A","Treaty Between England And France","1403-06-27",NA,"1403-06-27",NA,"A","B","L","GENG-0003",NA,NA,"TRTYEF_1403A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","TRTYEB_1407A","Treaty Between England And Burgandy","1407-03-10",NA,"1407-03-10","1407-03-10","A","B","L","GENG-0004",NA,NA,"TRTYEB_1407A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","GBR-SWE[CGB]_1656A","Treaty Of Commerce Between Great Britain And Sweden","1656-07-17",NA,"1656-07-17","1656-11-14","A","B","L","GENG-0005",NA,NA,"GBR-SWE[CGB]_1656A","GBR-SWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ESP-FRA[BDS]_1683A","Treaty Between France And Spain Concerning The River Bidassoa","1683-10-19",NA,"1683-10-19",NA,"A","B","L","GENG-0006",NA,NA,"ESP-FRA[BDS]_1683A","ESP-FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","FRA-GBR[ARA]_1713A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1713-04-11",NA,"1713-04-11","1713-05-09","A","B","L","GENG-0007",NA,NA,"FRA-GBR[ARA]_1713A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","NOR-SWE[NSL]_1751A","Norwegian-Swedish Agreement Regarding Laplanders","1751-10-02",NA,"1751-10-02",NA,"A","B","L","GENG-0008",NA,NA,"NOR-SWE[NSL]_1751A","NOR-SWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","FRA-GBR[ARA]_1763A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1763-02-10",NA,"1763-02-10","1763-03-10","A","B","L","GENG-0009",NA,NA,"FRA-GBR[ARA]_1763A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","FRA-GBR[ARA]_1783A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1783-10-03",NA,"1783-10-03",NA,"A","B","L","GENG-0010",NA,NA,"FRA-GBR[ARA]_1783A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","GBR-USA[ARA]_1783A","Treaty Between Great Britain And The USA Concerning Access Rights To The American North Atlantic","1783-10-03",NA,"1783-10-03",NA,"A","B","L","GENG-0011",NA,NA,"GBR-USA[ARA]_1783A","GBR-USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","NTKSND_1790A","Nootka Sound Convention","1790-10-28",NA,"1790-10-28","1970-10-21","A","B","L","GENG-0012",NA,NA,"NTKSND_1790A","ESP-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","FRA-GBR[ARA]_1802A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1802-03-27",NA,"1802-03-27","1802-04-18","A","B","L","GENG-0013",NA,NA,"FRA-GBR[ARA]_1802A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","FRA-GBR[ARA]_1814A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1814-05-30",NA,"1814-05-30","1814-06-11","A","B","L","GENG-0014",NA,NA,"FRA-GBR[ARA]_1814A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","GBR-USA[BSH]_1815A","Convention Of Commerce Between The United Kingdom Of Great Britain And Ireland And The United States Of America And Declaration By United Kingdom Regarding St Helena","1815-07-03",NA,"1815-07-03","1815-07-03","A","B","L","GENG-0015",NA,NA,"GBR-USA[BSH]_1815A","GBR-USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","FRA-GBR[ARA]_1815A","Treaty Between Britain And France Concerning Access Rights To The American North Atlantic","1815-10-20",NA,"1815-10-20",NA,"A","B","L","GENG-0016",NA,NA,"FRA-GBR[ARA]_1815A","FRA-GBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GBR-USA[CGB]_1818A","Convention Between The United Kingdom Of Great Britain And Ireland And The United States Of America Respecting Fisheries Boundary And The Restoration Of Slaves And Extending The Convention Of Commerce Between The United Kingdom Of Great Britain And Ireland And The United States Of America Of 3 July 1815","1818-10-20",NA,"1818-10-20","1819-01-30","E","B","L","GENG-0017",NA,NA,"GBR-USA[CGB]_1818A","GBR-USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","FRA-NLD[LCC]_1820A","Treaty Of Limits Between France And The Netherlands Concluded At Courtray","1820-03-28",NA,"1820-03-28",NA,"A","B","L","GENG-0018",NA,NA,"FRA-NLD[LCC]_1820A","FRA-NLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
