manyID,Title,Signature,Force,End,url,No_source,treatyID,Coder,Citation
GATT_1947O,GATT471947,30.10.1947,01.01.1948,01.01.1996,"""https://www.wto.org/english/docs_e/legal_e/gatt47_e.pdf""",NA,GATT_1947O,Anders,
ZAF-ZWE[RCU]_1948O,South Africa Southern Rhodesia Customs Union,06.12.1948,01.04.1949,NA,"""https://www.wto.org/gatt_docs/English/SULPDF/90320154.pdf""",NA,ZAF-ZWE[RCU]_1948O,Anders,
BTN-IND[NA]_1949O:BTN-IND[NA]_1949O,Bhutan India,08.08.1949,NA,02.03.2007,"""https://mea.gov.in/bilateral-documents.htm?dtl/5242/treaty+or+perpetual+p""",NA,BTN-IND[NA]_1949O:BTN-IND[NA]_1949O,Anders,
ERPCSC_1951O,European Coal And Steel Community,18.04.1951,23.07.1952,23.07.2002,"""https://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:11951K:EN:PDF""",NA,ERPCSC_1951O,Anders,
ARTTTT_1953A,Arab Trade Convention Treaty On Transit Trade,07.09.1953,NA,NA,"""https://www.wto.org/gatt_docs/English/SULPDF/90760427.pdf""",NA,ARTTTT_1953A,Anders,
CAN-PRT[NA]_1954O,Canada Portugal,28.05.1954,01.07.1954,31.12.9999,"""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100572""",NA,CAN-PRT[NA]_1954O,Anders,
CAN-ESP[NA]_1954O,Canada Spain,26.05.1954,01.07.1954,31.12.9999,"""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100588""",NA,CAN-ESP[NA]_1954O,Anders,
BNLXEU_1958O,Benelux Economic Union,03.02.1958,01.01.1960,31.12.9999,"""https://www.beneluxparl.eu/wp-content/uploads/documents/09_Verdragen/1958-Trait%C3%A9-instituant-lUnion-%C3%A9conomique-Benelux.pdf""",NA,BNLXEU_1958O,Anders,
IND-JPN[NA]_1958O,India Japan,04.02.1958,NA,31.12.9999,"""https://wits.worldbank.org/GPTAD/PDF/archive/india-japan.pdf""",NA,IND-JPN[NA]_1958O,Anders,
CNAFTA_1958O,Central American Free Trade Area,10.06.1958,02.06.1959,31.12.9999,"""https://treaties.un.org/doc/Publication/UNTS/Volume%20770/volume-770-I-10996-English.pdf""",NA,CNAFTA_1958O,Anders,
EQTRCU_1959O,Equatorial Customs Union,23.06.1959,01.07.1962,08.12.1964,"""https://www.wto.org/gatt_docs/English/SULPDF/90760372.pdf""",NA,EQTRCU_1959O,Anders,
AUS-CAN[NA]_1960O,Australia Canada,12.02.1960,30.06.1960,31.12.9999,"""http://www.austlii.edu.au/au/other/dfat/treaties/ATS/1960/5.html""",NA,AUS-CAN[NA]_1960O,Anders,
EFTA_1960O,EFTA,04.01.1960,03.05.1960,31.12.9999,"""https://www.efta.int/sites/default/files/documents/Vaduz_Convention_Agreement_Updated_1_November_2021.pdf""",NA,EFTA_1960O,Anders,
LTAFTA_1960O,Latin American Free Trade Area (LAFTA),18.02.1960,02.01.1962,12.08.1980,"""https://docs.wto.org/gattdocs/q/GG/L1799/1157.PDF""",NA,LTAFTA_1960O,Anders,
