manyID,Title,Signature,Force,End,url,No_source,treatyID,Coder,Citation
ECISRL_1975O,EC Israel,11.05.1975,01.05.1978,31.05.2000,"""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:21975A0511(02)""",NA,ECISRL_1975O,Jael,
ECPRTA_1976P,EC Portugal Additional Protocol,20.09.1976,01.11.1978,31.12.1985,"""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:21976A0920(02)""",NA,ECPRTA_1976P,Jael,
CUB-MEX[NA]_1985O,Cuba Mexico,11.03.1985,31.10.1989,NA,"""https://www2.aladi.org/nsfaladi/histtextacdos.nsf/f88cf0ec27a4b651032576790064fc05/399569e751ffc10a03256fbf006c1309?OpenDocument""",NA,CUB-MEX[NA]_1985O,Jael,
AUS-NZL[SRV]_1988P,Australia New Zealand (ANZCERTA) Protocol On Services,18.08.1988,01.01.1989,31.12.9999,"""http://www.austlii.edu.au/au/other/dfat/treaties/ATS/1988/20.html""",NA,AUS-NZL[SRV]_1988P,Jael,
EGY-LBY[LBY]_1990O,Egypt Libya,03.12.1990,06.07.1991,31.12.9999,https://www.mts.gov.eg/en/%d8%a7%d9%84%d8%a5%d8%aa%d9%81%d8%a7%d9%82%d9%8a%d8%a7%d8%aa-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1%d9%8a%d8%a9/%d8%a5%d8%aa%d9%81%d8%a7%d9%82%d9%8a%d8%a7%d8%aa-%d8%ab%d9%86%d8%a7%d8%a6%d9%8a%d8%a9/%d8%a5%d8%aa%d9%81%d8%a7%d9%82%d9%8a%d8%a7%d8%aa-%d8%ab%d9%86%d8%a7%d8%a6%d9%8a%d8%a9-%d8%b9%d8%a7%d9%85%d8%a9/,1,EGY-LBY[LBY]_1990O,Jael,
MWI-ZAF[NA]_1990A,Malawi South Africa,19.07.1990,24.12.1991,31.12.9999,https://mitc.mw/trade/index.php/bilateral-trade-agreements-between-malawi-and-south-africa.html,1,MWI-ZAF[NA]_1990A,Jael,
ECFRIS_1991O,EC Faroe Islands,02.12.1991,01.01.1992,31.12.1996,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:21991A1231(01),NA,ECFRIS_1991O,Jael,
ARG-CUB[NA]_1999O,Argentina Cuba,30.12.1999,01.01.2000,NA,https://www2.aladi.org/nsfaladi/histtextacdos.nsf/f88cf0ec27a4b651032576790064fc05/41051094785864d1032578920051e498?OpenDocument,NA,ARG-CUB[NA]_1999O,Jael,
BLR-RUS[RSS]_1999O,Belarus Russia (Union State),08.12.1999,26.01.2000,31.12.9999,https://treaties.un.org/Pages/showDetails.aspx?objid=0800000280090377&clang=_en,NA,BLR-RUS[RSS]_1999O,Jael,
BRA-CUB[NA]_1999O,Brazil Cuba,22.12.1999,01.01.2000,NA,https://www2.aladi.org/nsfaladi/histtextacdos.nsf/f88cf0ec27a4b651032576790064fc05/66370cd713fc22dc032573470067cf4a?OpenDocument,NA,BRA-CUB[NA]_1999O,Jael,
CHL-CUB[NA]_1999O,Chile Cuba,20.12.1999,27.06.2008,31.12.9999,https://www2.aladi.org/nsfaladi/textacdos.nsf/0f226c9002f6aebf03257491004226fe/0bb3c17fa53157400325684f0040bd5b?OpenDocument,NA,CHL-CUB[NA]_1999O,Jael,
LBY-TUN[LBY]_2001O,Libya Tunisia,14.06.2001,19.02.2002,31.12.9999,https://pce.tn/category/trade-agreements-of-tunisia/bilateral-conventions/?lang=en,1,LBY-TUN[LBY]_2001O,Jael,
ARM-EST[NA]_2002O,Armenia Estonia,27.06.2002,21.11.2002,NA,https://treaties.un.org/Pages/showDetails.aspx?objid=080000028007d68f&clang=_en,NA,ARM-EST[NA]_2002O,Jael,
GROPAT_2004A,Group Of 3 Auto Agreement,30.09.2004,2005,31.12.9999,http://www.sice.oas.org/TPD/G_3/Decisiones/dec41_s.pdf,NA,GROPAT_2004A,Jael,
ECMCCA_2008O,Economic And Monetary Community Of Central Africa (CEMAC) Revised,30.01.2009,NA,31.12.9999,https://ecfr.eu/special/african-cooperation/cemac/,1,ECMCCA_2008O,Jael,
ECCMRN_2009O,EC Cameroon,15.01.2009,04.08.2014,31.12.9999,https://investmentpolicy.unctad.org/international-investment-agreements/treaties/treaties-with-investment-provisions/3532/eu---cameroon-epa-2009-,NA,ECCMRN_2009O,Jael,
IDN-PAK[NA]_2012O,Indonesia Pakistan,03.02.2012,01.09.2013,31.12.9999,https://kemlu.go.id/karachi/en/pages/perjanjian_perdagangan/4775/etc-menu,NA,IDN-PAK[NA]_2012O,Jael,
CHN-KOR[KOR]_2015O,China Korea,01.06.2015,20.12.2015,31.12.9999,http://fta.mofcom.gov.cn/korea/annex/xdzw_en.pdf,NA,CHN-KOR[KOR]_2015O,Jael,
GTM-TTO[NA]_2015O,Guatemala Trinidad And Tobago,06.02.2015,NA,NA,"https://tradeind.gov.tt/trade-negotiations/#:~:text=Signed%20by%20both%20parties%20on,coverage%20is%20limited%20but%20varied.",1,GTM-TTO[NA]_2015O,Jael,
ESADCE_2016O,EC South African Development Community (SADC) EPA,10.06.2016,10.10.2016,31.12.9999,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:22016A0916(01)&from=EN,NA,ESADCE_2016O,Jael,
ARMNEC_2017O,Armenia EC,24.11.2017,01.03.2021,31.12.9999,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:22018A0126(01),NA,ARMNEC_2017O,Jael,
PRY-TWN[TWN]_2017O,Paraguay Taiwan,12.07.2017,28.02.2018,31.12.9999,http://www.sice.oas.org/Trade/PAR_TWN/PAR_TWN_index_e.asp,NA,PRY-TWN[TWN]_2017O,Jael,
CNTRAK_2018O,Central America Korea,21.02.2018,01.10.2019,31.12.9999,https://sde.gob.hn/2017/08/17/tlc-korea/,NA,CNTRAK_2018O,Jael,
ECDREF_2018O,Ecuador EFTA,25.06.2018,01.11.2020,31.12.9999,https://www.efta.int/sites/default/files/documents/legal-texts/free-trade-relations/ecuador/EFTA-Ecuador-Main-Agreement.PDF,NA,ECDREF_2018O,Jael,
ECSNIP_2018A,EC Singapore Investment Protection Agreement,15.10.2018,NA,NA,https://investmentpolicy.unctad.org/international-investment-agreements/treaties/treaties-with-investment-provisions/3545/eu---singapore-investment-protection-agreement-2018-,NA,ECSNIP_2018A,Jael,
EFTTRK_2018O,EFTA Turkey,25.06.2018,01.10.2021,31.12.9999,https://www.efta.int/sites/default/files/documents/legal-texts/free-trade-relations/turkey/EFTA-Turkey-Main-Agreement-2018.pdf,NA,EFTTRK_2018O,Jael,
ERSEUI_2018O,Eurasian Economic Union (EAEU) Iran,17.05.2018,27.10.2019,27.10.2025,"https://eec.eaeunion.org/en/comission/department/dotp/torgovye-soglasheniya/iran.php#:~:text=The%20Interim%20Agreement%20leading%20to,force%20on%20October%2027%2C%202019.",NA,ERSEUI_2018O,Jael,
GEO-HKG[NA]_2018O,Georgia Hong Kong,28.06.2018,13.02.2019,31.12.9999,https://www.tid.gov.hk/english/ita/fta/hkgefta/text_agreement.html,NA,GEO-HKG[NA]_2018O,Jael,
LKA-SGP[NA]_2018O,Singapore Sri Lanka,23.01.2018,01.05.2018,31.12.9999,https://www.enterprisesg.gov.sg/-/media/esg/files/non-financial-assistance/for-companies/free-trade-agreements/sri_lanka_singapore_fta/sri-lanka-legal-text-slsfta.pdf,NA,LKA-SGP[NA]_2018O,Jael,
MXCCND_2018A,US Mexico Canada Agreement (USMCA),30.11.2018,01.07.2020,01.07.2036,https://ustr.gov/trade-agreements/free-trade-agreements/united-states-mexico-canada-agreement/agreement-between,NA,MXCCND_2018A,Jael,
ANDNCU_2019O,Andean Countries UK,15.05.2019,31.12.2020,31.12.9999,https://assets.publishing.service.gov.uk/media/5d025a8240f0b609aa67427e/MS_22.2019_Andean_Trade.pdf,NA,ANDNCU_2019O,Jael,
AUS-GBR[NA]_2019O,Australia UK,17.12.2019,31.05.2023,31.12.9999,NA,1,AUS-GBR[NA]_2019O,Jael,
AUS-HKG[NA]_2019O,Australia Hong Kong,26.03.2019,17.01.2020,31.12.9999,https://www.dfat.gov.au/trade/agreements/in-force/a-hkfta/a-hkfta-text/Pages/default,NA,AUS-HKG[NA]_2019O,Jael,
AUS-IDN[NA]_2019O,Australia Indonesia,04.03.2019,05.07.2020,31.12.9999,https://www.dfat.gov.au/trade/agreements/in-force/iacepa/iacepa-text/default,NA,AUS-IDN[NA]_2019O,Jael,
