;;GENG.ID;ECOLEX.ID;IEA.ID;DocSign;DocForce;DocValidUntilDate;Title;Text;Notes;Download;Type;Ambit;Region;Subject.x;Subject.y;Keywords;Lineage;Sequence;AdoptedIn;Languages;Appendices;Depository;DepositoryURL;Published;Abstract;AbstractText;Website1;Website2;Secretariat;SecretariatURL;UNEP;Supersedes;References;EnabledBy;AmendedBy;Lit;Data;Coded
1;?;MGENG-0001;NA;IEA-4672;1857-08-31;1858-03-22;NA;Agreement Respecting The Regulation Of The Flow Of Water From Lake Constance;http://iea.uoregon.edu/pages/view_treaty.php?t=1857-RegulationFlowWaterLakeConstance.DE.txt&par=view_treaty_html;No repository found, not clear whether still in force;No;MEA (Agreement);NA;NA;NA;WATER;NA;Lake Constance Navigation;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Internationale Gewasserschutz-Kommission fur den Bodensee;http://www.igkb.de;NA;NA;NA;NA;NA;NA;NA;NA
2;;MGENG-0002;TRE-000561;NA;1868-10-17;1869-07-01;NA;Revised Convention On The Navigation Of The Rhine;http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-000561.pdf;NA;No;NA;Regional/restricted; Europe ;WATER;NA; authorization/permit  |  basin  |  court/tribunal  |  estuaries  |  harbour  |  inspection  |  intellectual property rights/patents  |  jurisdictional competence  |  navigation  |  river basin institution  |  transport/storage ;NA;NA;Mannheim;German | French | Dutch;NA;NA;;PrGS. 1869, p. 798, 836 UK Misc. No. 18 (1964) Cmnd.2421 $(en,fr);NA;Objectives: To replace the Convention regarding Rhine navigation of 31st March 1831. Summary of provisions: The navigation of the Rhine is free to the vessels of all nations for the transport of merchandise and persons, on the condition of conforming to the Convention (art. 1). Provisions deal with, inter alia, the levying of duties (art. 2 to 8), custom controls (art. 9), smuggling (art. 12) and vessel and raft certificates (art. 22 to 25). Parties are to, inter alia, maintain in good order port facilities and the existing twopaths and Rhine channel (art. 28), exchange information and consult on hydro-technic projects and take all necessary steps to ensure that navigation on the Rhine is not obstructed (art. 30). Tribunals are to be established to try cases concerning navigation on the Rhine (art. 33), and the Rhine is to be divided into inspection districts to be surveyed by inspectors yearly (art. 42). Institutional mechanisms: A Central Commission is established to, inter alia, examine all complaints arising from the application of the Convention, render judgement in cases of appeal, and prepare each year a report on the state of the Rhine navigation (art. 45).;NA;NA;NA;NA;NA;NA;NA;NA;19631120|19721025|19791017;FALSE;FALSE;FALSE
3;;MGENG-0003;NA;IEA-4060;1876-10-28;1877-01-01;NA;Treaty Concerning The Jan Mayen Seal Fishery;http://iea.uoregon.edu/pages/view_treaty.php?t=1887-JanMayenSealFishery.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS;NA;Jan Mayen Seal Fishery;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
4;;MGENG-0004;NA;IEA-2584;1877-07-14;1877-09-29;NA;Convention Between Alsace-Lorraine And The Two Initial Parties To The Convention Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance;http://iea.uoregon.edu/pages/view_treaty.php?t=1877-Alsace-LorraineAccession-1875-FishingRhineLakeConstanceBadenSwitzerland.DE.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;300;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
5;;MGENG-0005;NA;IEA-4054;1882-05-06;1884-05-15;NA;Convention For Regulating The Police Of The North Sea Fisheries (Overfishing Convention);http://iea.uoregon.edu/pages/view_treaty.php?t=1882-PoliceNorthSeasFishery.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;North Seas Fishery;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
6;;MGENG-0006;NA;IEA-4477;1884-03-15;1884-05-15;NA;Protocol Of Application To The Convention For Regulating The Police Of The North Sea Fisheries;http://iea.uoregon.edu/pages/view_treaty.php?t=1884-Protocol-1882-PoliceNorthSeasFishery.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS and OCEAN;NA;North Seas Fishery;101;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
7;;MGENG-0007;NA;IEA-2587;1884-09-21;NA;NA;Additional Convention Between Switzerland, Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries;http://iea.uoregon.edu/pages/view_treaty.php?t=1884-FishingInLakeConstance.DE.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;400;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Internationale Gewasserschutz-Kommission fur den Bodensee;http://www.igkb.de;NA;NA;NA;NA;NA;NA;NA;NA
8;;MGENG-0008;NA;IEA-4518;1884-09-21;NA;NA;Protocol To The Additional Convention Between Switzerland, Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries;http://iea.uoregon.edu/pages/view_treaty.php?t=1884-Protocol-1884-FishingInLakeConstance.DE.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;401;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Internationale Gewasserschutz-Kommission fur den Bodensee;http://www.igkb.de;NA;NA;NA;NA;NA;NA;NA;NA
9;;MGENG-0009;NA;IEA-2227;1885-02-26;1886-04-19;NA;"General Act Of The Conference At Berlin Of The Plenipotentiaries Of Great Britain, Austria-Hungary, Belgium, Denmark, France, Germany, Italy, The Netherlands, Portugal, Russia, Spain, Sweden And Norway, Turkey, And The United States Respecting: (1) Freedom Of Trade In The Basin Of The Congo; (2) The Slave Trade; (3) Neutrality Of The Territories In The Basin Of The Congo; (4) Navigation Of The Congo; (5) Navigation Of The Niger; And (6) Rules For Future Occupation On The Coast Of The African Continent";http://iea.uoregon.edu/pages/view_treaty.php?t=1885-GeneralActCongoNigerRivers.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Congo River Basin;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
10;;MGENG-0010;NA;IEA-4474;1885-06-30;1886-06-06;NA;Final Protocol To The Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1885-Protocol-1885-RhineSalmon.FR.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;501;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
