GENG,DocSign,DocForce,DocEnd,IEA,X,L,J,T,Title,Area,Target,ECOLEX,Lineage,Sequence,region,E,EA,EW,EL,EO,EM,S,SB,SF,ST,SP,SM,A,AE,AN,AS,AH,AW,Cites,Amends,Supersedes,Enables,Cited.by,Amended.by,Suspended.by,Enabled.by,OrigTitle,AdoptPlace,Depository,DocLangs,dateOfConsolidation,Keywords,Mutuality,party,Internet,AbstractLink,Abstract,Published,Website,Secretariat,TextLink,Google,TextDownloaded,Appendices,IEA.Data,IEA.Lit,GENG.B,Comments,Amendments,Appendixes,DocConsol
GENG-0001,1351-08-01,1351-08-01,1371-07-31,IEA-4015,√,B,L,G,Treaty Between England And Castile,,Between,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520England%2520and%2520Castile%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y97bHqgUiGQDxp4NLhuLsSWhGnxWBsRX15Gz0jPeJSco,NO,,,,GENG-1,Duration period of 20 years listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968 | Signatory state was Castile (coded as ESP)  | Not listed in UN Treaty Collection,,,
GENG-0002,1353-10-20,1353-10-20,1403-10-19,IEA-4016,√,B,L,G,Treaty Between England And Portugal,,Between,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520England%2520and%2520Portugal%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y8rfHqgUiGQDxp4NLmc06PVDaEDEIBnPIkZFDX5X49u8,NO,,,,GENG-2,Treaty's duration period stated in Parry & Hopkins (1970) An Index of British Treaties 1101-1968,,,
GENG-0003,1403-06-27,,,IEA-4017,?,B,L,G,Treaty Between England And France,,Between,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520England%2520and%2520France%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y27fHqgUiGQDxp4NLsaEiC3h0CV0I59jm8cAFRCSsNHA,NO,,,,GENG-3,Not listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968 | Not listed under http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1,,,
GENG-0004,1407-03-10,1407-03-10,,IEA-4018,?,B,L,G,Treaty Between England And Burgandy,,Between,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520England%2520and%2520Burgandy%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y2rfHqgUiGQDxp4NLhmMdmn8MpqzcMgh6c3_dOGs2mZY,NO,,,,GENG-4,"No specific end date or duration period stated in Parry & Hopkins (1970) An Index of British Treaties 1101-1968 | Signatory state was Burgandy (coded as FRA) | Not listed in French Treaty Database | Exactly the same as GENG-5, therefore, GENG-5 was deleted",,,
GENG-0005,1656-07-17,1656-11-14,,IEA-4019,?,B,L,G,Treaty Of Commerce Between Great Britain And Sweden,,Commerce,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520of%2520Commerce%2520between%2520Great%2520Britain%2520and%2520Sweden%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y9bfHqgUiGQDxp4NL2CoVlGf0bd-Vpsd9b96nK5Jkm3c,NO,,,,GENG-6,No end date listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968,,,
GENG-0006,1683-10-19,,,IEA-4020,?,B,L,G,Treaty Between France And Spain Concerning The River Bidassoa,Bidassoa River,River,,Bidassoa,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Secretariat not yet identified,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520France%2520and%2520Spain%2520concerning%2520the%2520River%2520Bidassoa%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y9bbHqgUiGQDxp4NLSdkK4wVZx8vzQZ9xUstTowJi2h8,NO,,,,GENG-7,Signatory state was Castile (coded as ESP) | Not listed in UN Treaty Collection | Not listed in Spanish Treaty Database | Not listed under http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1 | Not listed in UN Treaty Collection,,,
GENG-0007,1713-04-11,1713-05-09,,IEA-4021,?,B,L,G,Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,American North Atlantic,Access,,UK/France Access Rights To American North Atlantic,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Reciprocal,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520Britain%2520and%2520France%2520concerning%2520Access%2520Rights%2520to%2520the%2520American%2520North%2520Atlantic%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y2LfHqgUiGQDxp4NLFQhbMxYj_e3yF_CnWcQivSeInM0,NO,,,,GENG-8,"Only treaty with title ""Treaty of navigation and commerce"" listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968, for which no specific end date or duration period is stated | Classified as not in force anymore under http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1",,,
GENG-0008,1751-10-02,,,IEA-4022,?,B,L,G,Norwegian-Swedish Agreement Regarding Laplanders,Lapland,Laplanders,,,100,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DNorwegian-Swedish%2520Agreement%2520regarding%2520Laplanders%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88YoLnHqgUiGQDxp4NLRbYHQs5VgvzlO_yQ-iMsX9akLw0,NO,,,,GENG-9,Not listed in Norwegian treaty data base | Not listed in UN Treaty Collection,,,
GENG-0009,1763-02-10,1763-03-10,,IEA-4023,?,B,L,G,Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,American North Atlantic,Access,,UK/France Access Rights To American North Atlantic,200,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Reciprocal,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520Britain%2520and%2520France%2520concerning%2520Access%2520Rights%2520to%2520the%2520American%2520North%2520Atlantic%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y2bfHqgUiGQDxp4NLCF8UvYgfJCqNRngOy-zi13HJxlE,NO,,,,GENG-10,"Only treaty with title ""Definitive Treaty of Peace"" between England and France listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968 | Not listed under http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1",,,
GENG-0010,1783-10-03,,,IEA-4024,?,B,L,G,Treaty Between Britain And France Concerning Access Rights To The American North Atlantic,American North Atlantic,Access,,UK/France Access Rights To American North Atlantic,300,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,Reciprocal,,,,,,,No known secretariat,,http://ipv4.google.com/sorry/IndexRedirect?continue=http://www.google.com/search%3Fq%3DTreaty%2520between%2520Britain%2520and%2520France%2520concerning%2520Access%2520Rights%2520to%2520the%2520American%2520North%2520Atlantic%2520%2522terminate%2522%2520OR%2520%2522supersede%2522%2520OR%2520%2522repeal%2522%2520OR%2520%2522replace%2522%2520OR%2520%2522expired%2522%2520OR%2520%2522supplant%2522%26hl%3Den%26btnG%3DGoogle%252BSearch&q=CGMSBMOwa88Y2bfHqgUiGQDxp4NLCF8UvYgfJCqNRngOy-zi13HJxlE,NO,,,,GENG-11,Not listed in Parry & Hopkins (1970) An Index of British Treaties 1101-1968 | Not listed under http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1,,,
