"manyID","Title","Beg","Signature","Force","destaID","labptaID","trendID","treatyID","url","alt.url","Remarks","Language"
"GATT_1947O","GATT471947","1947-01-01","1947-01-01","1947-01-01","#N/A","#N/A","9000","GATT_1947O","""https://www.wto.org/english/docs_e/legal_e/gatt47_e.pdf""",NA,"",""
"ZAF-ZWE[RCU]_1948O","South Africa Southern Rhodesia Customs Union1948","1948-01-01","1948-01-01","1948-01-01","663","#N/A","663","ZAF-ZWE[RCU]_1948O",NA,NA,"",""
"BTN-IND[NA]_1949O:BTN-IND[NA]_1949O","Bhutan India","1949-01-01","1949-01-01","#N/A","707","#N/A","#N/A","BTN-IND[NA]_1949O:BTN-IND[NA]_1949O","""https://mea.gov.in/bilateral-documents.htm?dtl/5242/treaty+or+perpetual+p""",NA,"",""
"NIC-SLV[FTA]_1951O","El Salvador Nicaragua Free Trade Area1951","1951-01-01","1951-01-01","1951-01-01","418","#N/A","418","NIC-SLV[FTA]_1951O",NA,NA,"",""
"ERPCSC_1951O","European Coal And Steel Community1951","1951-01-01","1951-01-01","1951-01-01","436","#N/A","436","ERPCSC_1951O",NA,"""https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:11951K/TXT&from=EN""","","French"
"IRQ-JOR[NA]_1953O:IRQ-JOR[NA]_1953O","Iraq Jordan1953","1953-01-01","1953-01-01","1953-01-01","500","#N/A","500","IRQ-JOR[NA]_1953O",NA,"""http://extwprlegs1.fao.org/docs/pdf/jor62836.pdf""","","Arabic"
"ARTTTT_1953A","Arab Trade Convention Treaty On Transit Trade","1953-01-01","1953-01-01","1953-01-01","695","#N/A","#N/A","ARTTTT_1953A","""https://www.wto.org/gatt_docs/English/SULPDF/90760427.pdf""",NA,"",""
"CAN-PRT[NA]_1954O","Canada Portugal1954","1954-01-01","1954-01-01","1954-01-01","783","#N/A","783","CAN-PRT[NA]_1954O","""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100572""",NA,"",""
"CAN-ESP[NA]_1954O","Canada Spain1954","1954-01-01","1954-01-01","1954-01-01","784","#N/A","784","CAN-ESP[NA]_1954O","""https://www.treaty-accord.gc.ca/text-texte.aspx?id=100588""",NA,"",""
"FRA-TUN[CSU]_1955A","France Tunisia Customs Union Convention1955","1955-01-01","1955-01-01","1955-01-01","453","#N/A","453","FRA-TUN[CSU]_1955A",NA,NA,"",""
"SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O","Saudi Arabia Syria","1955-01-01","1955-01-01","#N/A","773","#N/A","#N/A","SAU-SYR[SAS]_1955O:SAU-SYR[SAS]_1955O",NA,NA,"",""
"EC_1957O","EC1957","1957-01-01","1957-01-01","1957-01-01","293","#N/A","293","EC_1957O",NA,"""https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:11957E/TXT&from=EN""","","French"
"IRQ-SAU[SDA]_1957O","Iraq Saudi Arabia","1957-01-01","1957-01-01","#N/A","751","#N/A","#N/A","IRQ-SAU[SDA]_1957O",NA,NA,"",""
"LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O","Lebanon Saudi Arabia","1957-01-01","1957-01-01","#N/A","757","#N/A","#N/A","LBN-SAU[SDA]_1957O:LBN-SAU[SDA]_1957O",NA,NA,"",""
"CNAFTA_1958O","Central American Free Trade Area (CAFTA)1958","1958-01-01","1958-01-01","1958-01-01","189","#N/A","189","CNAFTA_1958O",NA,"""http://www.sice.oas.org/tpd/usa_cafta/CAFTAfinal/CAFTAind_e.asp""","",""
"BNLXEU_1958O","Benelux Economic Union1958","1958-01-01","1958-01-01","1958-01-01","706","#N/A","706","BNLXEU_1958O",NA,"""https://wipolex.wipo.int/en/text/242222""","","French"
