"IEA# (click for add'l info)","Inclusion","Signature Year","Signature Date","Date IEA entered into force","Treaty Name","Treaty Text","Members","Agreement Type (level 2)","Lineage","Sequence in lineage","Data","Articles, etc.","Secretariat","UNEP Info"
"4015","BEA","1351","1351-08-01","","Treaty between England and Castile","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4016","BEA","1353","1353-10-20","","Treaty between England and Portugal","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4017","BEA","1403","1403-06-27","","Treaty between England and France","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4018","BEA","1407","1407-03-10","","Treaty between England and Burgandy","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4019","BEA","1656","1656-07-17","","Treaty of Commerce between Great Britain and Sweden","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4020","BEA","1683","1683-10-19","","Treaty between France and Spain concerning the River Bidassoa","","Members","Agreement","Bidassoa","100.000","Data","Lit","Secretariat not yet identified",""
"4021","BEA","1713","1713-04-11","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","100.000","Data","Lit","No known secretariat",""
"4022","BEA","1751","1751-10-02","","Norwegian-Swedish Agreement regarding Laplanders","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1795","BuA","1754","1754-08-17","1755-09-07","Treaty Between Her Majesty The Royal Empress And Her Serenity, The Republic Of Venice, Concerning The Definition Of Borders","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4023","BEA","1763","1763-02-10","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","200.000","Data","Lit","No known secretariat",""
"1796","BuA","1781","1781-12-19","","Convention Between Bale And France","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4026","MUA","1783","1783-09-03","","Peace Treaty of Paris","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4024","BEA","1783","1783-10-03","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","300.000","Data","Lit","No known secretariat",""
"4025","BEA","1783","1783-10-03","","Treaty between Great Britain and the U.S. concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/United States Access Rights to American North Atlantic","100.000","Data","Lit","No known secretariat",""
"1797","BuA","1785","1785-04-01","1785-04-01","Convention Between The Commissioner Of The Emperor And The Commandants Of The Dutch Cities Of Sas-De-Gand (Ghent) And Of Philippine Concerning The Inundations","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"3958","OuA","1790","1790-08-07","1790-08-07","Treaty Of Peace And Amity Between The United States And The Creek (North American Indians)","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4027","BEA","1790","1790-10-28","","Nootka Sound Convention","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4028","BEA","1802","1802-03-27","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","400.000","Data","Lit","No known secretariat",""
"4029","BEA","1814","1814-05-30","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","500.000","Data","Lit","No known secretariat",""
"4369","BEA","1815","1815-07-03","1815-07-03","Convention of Commerce between the United Kingdom of Great Britain and Ireland and the United States of America, and Declaration by United Kingdom regarding St Helena","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4030","BEA","1815","1815-10-20","","Treaty between Britain and France concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/France Access Rights to American North Atlantic","600.000","Data","Lit","No known secretariat",""
"4031","BEA","1818","1818-10-20","1819-01-30","Convention between the United Kingdom of Great Britain and Ireland and the United States of America Respecting Fisheries, Boundary, and the Restoration of Slaves and Extending the Convention of Commerce between the United Kingdom of Great Britain and Ireland and the United States of America of 3 July 1815","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4032","BEA","1824","1824-04-17","1825-01-12","Convention regarding Navigation, Fishing, and Trading on the Pacific Ocean and along the Northwest Coast of America","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"1798","BuA","1824","1824-06-30","1824-09-24","Treaty Concerning The Frontiers Between The Netherlands And Hanover","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4033","BEA","1825","1825-02-16","","Treaty between the U.K. and Russia following the Ukase","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4035","BEA","1826","0000-00-00","","Norwegian-Russian Agreement regarding Laplanders","","Members","Agreement","Norway/Russia Laplanders","100.000","Data","Lit","No known secretariat",""
"4034","BEA","1826","1826-01-26","","Convention between England and France concerning Fishing in the English Channel","","Members","Agreement","English Channel Fishing","100.000","Data","Lit","No known secretariat",""
"4370","BEA","1827","1827-08-06","1828-10-20","Convention of Commerce between the United Kingdom of Great Britain and Ireland and the United States of America, extending indefinitely the Convention of Commerce of 3 July 1815 and of 20 October 1818 between the United Kingdom of Great Britain and Ireland and the United States of America","Treaty Text**","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4036","BEA","1831","1831-11-15","","Belgium-Netherlands Agreement on the River Scheldt","","Members","Agreement","Belgium-Netherlands Scheldt","100.000","Data","Lit","No known secretariat",""
"4037","BEA","1834","0000-00-00","","Norwegian-Russian Agreement regarding Laplanders","","Members","Agreement","Norway/Russia Laplanders","200.000","Data","Lit","No known secretariat",""
"4038","BEA","1839","1839-04-19","","Belgium-Netherlands Agreement on the River Scheldt","","Members","Agreement","Belgium-Netherlands Scheldt","200.000","Data","Lit","No known secretariat",""
"4039","BEA","1839","1839-08-02","","Agreement between England and France concerning a Three Mile Limit","","Members","Agreement","England/France Three Mile Limit","100.000","Data","Lit","No known secretariat",""
"4040","BEA","1839","1839-08-02","","Convention between England and France concerning Fishing in the English Channel","","Members","Agreement","English Channel Fishing","200.000","Data","Lit","No known secretariat",""
"4041","BEA","1843","1843-05-20","","Belgium-Netherlands Agreement on the River Scheldt","","Members","Agreement","Belgium-Netherlands Scheldt","300.000","Data","Lit","No known secretariat",""
"4042","BEA","1843","1843-05-24","","Agreement between England and France concerning a Three Mile Limit","","Members","Agreement","England/France Three Mile Limit","200.000","Data","Lit","No known secretariat",""
"4043","BEA","1843","1843-05-24","","Convention between England and France concerning Fishing in the English Channel","","Members","Agreement","English Channel Fishing","300.000","Data","Lit","No known secretariat",""
"4044","BEA","1843","1843-06-26","","Convention between England and France concerning Fishing in the English Channel","","Members","Agreement","English Channel Fishing","400.000","Data","Lit","No known secretariat",""
"4045","BEA","1845","1845-12-01","","Convention between England and France concerning Fishing in the English Channel","","Members","Agreement","English Channel Fishing","500.000","Data","Lit","No known secretariat",""
"1799","BuA","1851","1851-12-02","1852-05-14","Navigation Agreement Between Austria And Bavaria","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4046","BEA","1854","1854-06-05","","Treaty between Great Britain and the U.S. concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/United States Access Rights to American North Atlantic","200.000","Data","Lit","No known secretariat",""
"3945","OEN","1855","1855-01-26","","US Northwest Indian Fisheries Commission","","Members","Commission","Not Yet Assigned","100.000","","","U.S. Northwest Indian Fisheries Commission",""
"3946","OEN","1855","1855-06-11","","US Columbia River Inter-Tribal Fish Commission","Treaty Text**","Members","Commission","Not Yet Assigned","100.000","","","U.S. Columbia River Inter-Tribal Fish Commission",""
"3703","MuA","1856","1856-03-30","1856-04-27","General Peace Treaty Between Austria, France, Great Britain, Russia, Sardinia, Prussia And Turkey","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
