Common.Name,Membership,Type,Date.of.Signature,Date.of.Entry.into.Force,WTO.notified,In.force.status,Annexes.Available
AEC,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic , Comoros, Congo, Cote d'Ivoire, Djibouti, Egypt, Ethiopia, Equatorial Guinea, Gabon, Gambia, Ghana, Guinea, Guinea Bissau, Kenya, Lesotho, Liberia, Libyan Arab Jamahiriya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sahrawi, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, Sudan, Swaziland, Tanzania, Tchad, Togo, Tunisia, Uganda, Zaire, Zambia, Zimbabwe",Regional/Plurilateral Free Trade Agreement,06/03/1991,N/A,no,in force,NA
Afghanistan - India,"Afghanistan, India",Bilateral Free Trade Agreement,03/06/2003,05/13/2003,yes,in force,NA
Afghanistan - India,"Afghanistan, India",Bilateral Free Trade Agreement,03/06/2003,05/13/2003,yes,in force,NA
Afghanistan - India,"Afghanistan, India",Bilateral Free Trade Agreement,03/06/2003,N/A,no,unknown,NA
Agadir (Egypt - Jordan - Morocco - Tunisia),"Egypt, Jordan, Morocco, Tunisia",Regional/Plurilateral Free Trade Agreement,02/25/2004,N/A,no,unknown,NA
Albania - Croatia,"Albania, Croatia\r\n",Bilateral Free Trade Agreement,09/27/2002,06/01/2003,yes,expired,NA
Albania - Macedonia (FYROM),"Albania, Macedonia",Bilateral Free Trade Agreement,n/a,07/01/2002,yes,expired,NA
Albania - Moldova,"Albania, Moldova",Bilateral Free Trade Agreement,n/a,N/A,no,,NA
Albania - Turkey,"Albania, Turkey",Bilateral Free Trade Agreement,12/22/2006,05/01/2008,yes,in force,NA
Albania - UNMIK,"Albania, Kosovo",Bilateral Free Trade Agreement,n/a,N/A,no,,NA
Albania-Buglaria,"Albania, Buglaria",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Albania-Romania,"Albania, Romania",Bilateral Free Trade Agreement,n/a,N/A,yes,expired,NA
Andean Community (CAN),"Bolivia, Colombia, Ecuador, Peru, and Venezuela",Customs Union Primary Agreement,03/10/1996,05/25/1988,yes,in force,NA
Andean Community - Brazil,"Andean Community (Colombia, Ecuador, Peru, Venezuela), Brazil",Association Free Trade Agreement,n/a,N/A,no,expired,NA
Arab Maghreb Union,"Morocco, Tunisia, Algeria, Libya, Mauritania",Regional/Plurilateral Free Trade Agreement,02/17/1989,N/A,no,unknown,NA
Armenia - Georgia,"Republic of Armenia, Republic of Georgia",Bilateral Free Trade Agreement,08/14/1995,11/11/1998,yes,in force,NA
Armenia - Kazakhstan,"Armenia, Kazakhstan\r\n",Bilateral Free Trade Agreement,09/02/1999,12/25/2001,yes,in force,NA
Armenia - Kyrgyz,"Armenia, Kyrgyz",Bilateral Free Trade Agreement,07/04/1994,10/27/1995,yes,in force,NA
Armenia - Moldova,"Armenia, Moldova",Bilateral Free Trade Agreement,12/24/1993,12/21/1995,yes,in force,NA
Armenia - Russia,"Armenia, Russia",Bilateral Free Trade Agreement,09/30/1992,03/25/1993,yes,in force,NA
Armenia - Turkmenistan,"Armenia, Turkmenistan",Bilateral Free Trade Agreement,10/03/1995,07/07/1996,yes,in force,NA
Armenia - Ukraine,"Armenia, Ukraine",Bilateral Free Trade Agreement,10/07/1994,12/18/1996,yes,in force,NA
Armenia-Iran,"Armenia, Iran",Bilateral Free Trade Agreement,05/06/1995,01/18/1997,no,expired,NA
ASEAN  (AFTA),"ASEAN (Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand)",Regional/Plurilateral Free Trade Agreement,01/28/1992,10/30/1992,yes,in force,NA
ASEAN - Australia - New Zealand,"ASEAN (Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand), Australia, New Zealand",Regional/Plurilateral Free Trade Agreement,02/27/2009,07/01/2009,yes,in force,NA
ASEAN - China,"ASEAN (Brunei Darussalam, Cambodia, Indonesia, Lao, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam), China",Bilateral Free Trade Agreement,11/04/2002,07/01/2003,yes,in force,NA
ASEAN - India,"India, ASEAN (Brunei Darussalam, Cambodia, Indonesia, Lao PDR, Malaysia, Myanmar, the Philippines, Singapore, Thailand, Viet Nam)",Bilateral Free Trade Agreement,10/08/2003,N/A,no,unknown,NA
ASEAN - Korea,"ASEAN (Brunei Darussalam, Cambodia, Indonesia, Lao, Malaysia, Myanmar, Philippines, Singapore, Thailand, Vietnam), Korea\r\n \r\n\r\n",Regional/Plurilateral Free Trade Agreement,n/a,07/01/2006,yes,in force,NA
ASEAN - Korea,"ASEAN (Brunei Darussalam, Cambodia, Indonesia, Lao, Malaysia, Myanmar, Philippines, Singapore, Thailand Vietnam),  Korea",Bilateral Free Trade Agreement,12/13/2005,N/A,,signed - not yet in force,NA
ASEAN-Japan,"ASEAN (Brunei Darussalam, Indonesia, Malaysia, Philippines, Singapore, Thailand), Japan",Bilateral Free Trade Agreement,10/08/2003,N/A,yes,in force,NA
Australia - Chile,Australia; Chile,Bilateral Free Trade Agreement,07/30/2008,03/06/2009,yes,in force,NA
Australia - New Zealand (ANZCERTA),"Australia, New Zealand\r\n\r\n\r\n",Bilateral Free Trade Agreement,12/14/1982,01/01/1983,yes,in force,NA
Australia - Papua New Guinea (PATCRA),"Australia, Papua New Guinea",Bilateral Free Trade Agreement,11/06/1976,02/01/1977,yes,in force,NA
Australia - Thailand,"Australia, Thailand",Bilateral Free Trade Agreement,07/05/2004,01/01/2005,yes,in force,NA
Azerbaijan - Georgia,"Azerbaijan, Georgia",Bilateral Free Trade Agreement,03/08/1996,07/10/1996,yes,in force,NA
Azerbaijan - Ukraine,"Azerbaijan, Ukraine\r\n",Bilateral Free Trade Agreement,07/28/1995,09/02/1996,yes,in force,NA
BAFTA Agricultural Goods,"Estonia, Latvia, Lithuania",Regional/Plurilateral Free Trade Agreement,06/16/1996,10/15/1996,yes,expired,NA
BAFTA Industrial Goods,"Estonia, Latvia, Lithuania",Regional/Plurilateral Free Trade Agreement,09/13/1993,04/01/1994,yes,expired,NA
BAFTA Non Tarriff Barriers,"Estonia, Latvia, Lithuania",Regional/Plurilateral Free Trade Agreement,11/20/1997,N/A,yes,expired,NA
Bahrain - Jordan,"Bahrain, Jordan",Bilateral Free Trade Agreement,07/01/2001,N/A,no,unknown,NA
Bangkok Agreement (now APTA) - Accession of China,"Bangladesh, China, India, Korea, Lao, Sri Lanka",Regional/Plurilateral Free Trade Agreement,04/12/2001,01/01/2002,yes,expired,NA
Bangkok Agreement (now known as APTA),"Bangladesh, India, Korea, Laos, Philippines, Sri Lanka, Thailand",Regional/Plurilateral Free Trade Agreement,07/31/1975,06/17/1976,yes,expired,NA
Bangladesh - India,"Bangladesh, India",Bilateral Free Trade Agreement,03/21/2006,04/01/2006,no,unknown,NA
Belarus - Ukraine,"Belarus, Ukraine",Bilateral Free Trade Agreement,12/17/1992,11/11/2006,yes,in force,NA
Bhutan-India,"Bhutan, India",Bilateral Free Trade Agreement,07/28/2006,07/29/2006,yes,in force,NA
BIMST-EC,"BIMST-EC (Bhutan, India, Myanmar, Nepal, Sri Lanka, Thailand)",Framework Agreement,n/a,N/A,no,,NA
Bolivia - Chile,"Bolivia, Chile",Bilateral Free Trade Agreement,04/06/1993,01/01/1995,no,in force,NA
Bosnia and Herzegovina - Croatia,"Bosnia and Herzegovina, Croatia",Bilateral Free Trade Agreement,12/19/2000,11/26/2003,yes,expired,NA
Bosnia and Herzegovina - Romania,"Bosnia and Herzegovina, Romania",Regional/Plurilateral Free Trade Agreement,n/a,07/15/2002,yes,expired,NA
Bosnia and Herzegovina - Slovenia,"Bosnia and Herzegovina, Slovenia",Bilateral Free Trade Agreement,10/03/2001,01/01/2002,yes,expired,NA
Bosnia-Herzegovina - Macedonia (FYROM),"Bosnia and Herzegovina, Macedonia",Regional/Plurilateral Free Trade Agreement,n/a,07/01/2002,yes,expired,NA
Brunei Darussalam - Japan,"Brunei Darussalam, Japan",Bilateral Free Trade Agreement,06/18/2007,07/31/2008,yes,in force,NA
