"manyID","treatyID","stateID","Title","Begin","End","Signature","Force","stateSignature","stateRat","stateForce","stateForce2","stateForce3","Term","stateWithdrawal","stateWithdrawal2","gengID","ecolexID","ieaID","Comments","Deposit","obsolete","ProvisionalApp","Reservation","verified","Notes","stateForce_ecolex","stateForce_iea","Consent","Acceptance","Accession","Changes_HUGGO","Verified_HUGGO","Checked_HUGGO","Succession"
"RA06OS_1968A","RA06OS_1968A","OMN","Agreement On The Rescue Of Astronauts The Return Of Astronauts And The Return Of Objects Launched Into Outer Space (London Version)","1968-04-22",NA,"1968-04-22","1968-12-03",NA,"2022-02-04","2022-02-04",NA,NA,NA,NA,NA,"GENG-0826","TRE-000415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-02-04",NA,NA,NA,NA
"RA06OS_1968A","RA06OS_1968A","SAU","Agreement On The Rescue Of Astronauts The Return Of Astronauts And The Return Of Objects Launched Into Outer Space (London Version)","1968-04-22",NA,"1968-04-22","1968-12-03",NA,"2021-11-11","2021-11-11",NA,NA,NA,NA,NA,"GENG-0826","TRE-000415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-11-11",NA,NA,NA,NA
"RA06OS_1968A","RA06OS_1968A","SRB","Agreement On The Rescue Of Astronauts The Return Of Astronauts And The Return Of Objects Launched Into Outer Space (London Version)","1968-04-22",NA,"1968-04-22","1968-12-03","1968-04-22","1971-03-01","1971-03-01",NA,NA,NA,NA,NA,"GENG-0826","TRE-000415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-06-03"
"ACNARE_1986A","ACNARE_1986A","BEN","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2019-09-18","2019-10-18",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-18",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","KHM","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2022-09-26","2022-10-26",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-09-26",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","ECU","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2019-09-16","2019-10-16",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-09-16",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","ERI","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2020-03-13","2020-04-12",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-03-13",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","GEO","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2018-04-10","2018-05-10",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-04-10",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","GHA","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2016-09-05","2016-10-05",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-09-05",NA,NA,NA,NA
"ACNARE_1986A","ACNARE_1986A","MDG","Convention On Assistance In The Case Of A Nuclear Accident Or Radiological Emergency","1986-09-26",NA,"1986-09-26","1987-02-26",NA,"2017-03-03","2017-04-02",NA,NA,NA,"9999-12-31",NA,"MGENG-0385","TRE-145405","IEA-3004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-03",NA,NA,NA,NA
