manyID,treatyID,stateID,Title,Begin,End,Signature,Force,stateSignature,stateRat,stateForce,stateForce2,stateForce3,Term,stateWithdrawal,stateWithdrawal2,gengID,ecolexID,ieaID,Comments,Deposit,obsolete,ProvisionalApp,Reservation,verified,Notes,stateForce_ecolex,stateForce_iea,Consent,Acceptance,Accession,Changes_HUGGO,Verified_HUGGO,Checked_HUGGO,Succession,Coder
INTRSC_1972A,INTRSC_1972A,DDR,International Convention For Safe Containers,02.12.1972,NA,02.12.1972,06.09.1977,NA,27.09.1974,06.09.1977,NA,NA,NA,03.10.1990,NA,GENG-1034,TRE-000734,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,27.09.1974,"stateSignature, stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
INRPCS_1972A,INRPCS_1972A,DDR,Convention On The International Regulations For Preventing Collisions At Sea,20.10.1972,NA,20.10.1972,15.07.1977,NA,15.05.1975,15.07.1977,NA,NA,NA,03.10.1990,NA,GENG-1026,TRE-000108,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,15.05.1975,"stateSignature, stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
ENFFEC_1923A,ENFFEC_1923A,FRA,Convention Between England And France Concerning Fishing In The English Channel,01.10.1923,31.12.9999,01.10.1923,01.10.1923,29.09.1923,NA,01.10.1923,NA,NA,NA,31.12.9999,NA,GENG-0224,NA,IEA-4927,Still in force | http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1,NA,NA,NA,NA,verified,NA,NA,NA,NA,NA,NA,stateSignature,"stateSignature, stateRat, stateForce, stateWithdrawal",1,NA,Diego
ENFFEC_1923A,ENFFEC_1923A,GBR,Convention Between England And France Concerning Fishing In The English Channel,01.10.1923,31.12.9999,01.10.1923,01.10.1923,29.09.1923,NA,01.10.1923,NA,NA,NA,31.12.9999,NA,GENG-0224,NA,IEA-4927,Still in force | http://basedoc.diplomatie.gouv.fr/exl-php/cadcgp.php?CMD=CHERCHE&QUERY=1&MODELE=vues/mae_internet___traites/home.html&VUE=mae_internet___traites&NOM=cadic__anonyme&FROM_LOGIN=1,NA,NA,NA,NA,verified,NA,NA,NA,NA,NA,NA,stateSignature,"stateSignature, stateRat, stateForce, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,AUT,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,09.05.1928,09.05.1928,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,09.05.1928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,BEL,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,04.12.1928,04.12.1928,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,04.12.1928,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,BGR,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,07.03.1934,07.03.1934,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,07.03.1934,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,BRA,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,28.08.1970,28.08.1970,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,28.08.1970,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,CAN,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,06.05.1930,06.05.1930,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,06.05.1930,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
PW05MW_1925P,PW05MW_1925P,CHE,Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare,17.06.1925,31.12.9999,17.06.1925,08.02.1928,17.06.1925,12.07.1932,12.07.1932,NA,NA,NA,31.12.9999,NA,GENG-0240,NA,IEA-2603,NA,12.07.1932,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA,Diego
