;V1;V2;Done;Notes
1;DEU;MGENG-0001;?;No repository found, conflicting ratification dates
2;CHE;MGENG-0011;%;
3;DEU;MGENG-0011;%;
4;NLD;MGENG-0011;%;
5;BEL;MGENG-0013;%;
6;DEU;MGENG-0013;%;
7;DNK;MGENG-0013;%;
8;FRA;MGENG-0013;%;
9;GBR;MGENG-0013;%;
10;NLD;MGENG-0013;%;
11;POL;MGENG-0024;%;
12;POL;MGENG-0025;%;
13;NZL;MGENG-0034;?;Unclear whether New Zealand left agreement/annex 16 for certain period of time
14;BLZ;MGENG-0036;%;
15;BRA;MGENG-0036;%;
16;CRI;MGENG-0036;%;
17;DMA;MGENG-0036;%;
18;ECU;MGENG-0036;%;
19;ISL;MGENG-0036;%;
20;NLD;MGENG-0036;%;
21;NOR;MGENG-0036;%;
22;NZL;MGENG-0036;%;
23;PAN;MGENG-0036;%;
24;SWE;MGENG-0036;%;
25;URY;MGENG-0036;%;
26;AUS;MGENG-0038;%;
27;BGD;MGENG-0038;%;
28;CHN;MGENG-0038;%;
29;FRA;MGENG-0038;%;
30;GBR;MGENG-0038;%;
31;IDN;MGENG-0038;%;
32;IND;MGENG-0038;%;
33;JPN;MGENG-0038;%;
34;KHM;MGENG-0038;%;
35;KOR;MGENG-0038;%;
36;LKA;MGENG-0038;%;
37;MMR;MGENG-0038;%;
38;MYS;MGENG-0038;%;
39;NLD;MGENG-0038;%;
40;NPL;MGENG-0038;%;
41;NZL;MGENG-0038;%;
42;PAK;MGENG-0038;%;
43;PHL;MGENG-0038;%;
44;THA;MGENG-0038;%;
45;TLS;MGENG-0038;%;
46;USA;MGENG-0038;%;
47;VNM;MGENG-0038;%;
48;NZL;MGENG-0039;%;
49;CAN;MGENG-0042;%;
50;COL;MGENG-0042;%;
51;CRI;MGENG-0042;%;
52;ECU;MGENG-0042;%;
53;ESP;MGENG-0042;%;
54;FRA;MGENG-0042;%;
55;GTM;MGENG-0042;%;
56;JPN;MGENG-0042;%;
57;KOR;MGENG-0042;%;
58;MEX;MGENG-0042;%;
59;NIC;MGENG-0042;%;
60;PAN;MGENG-0042;%;
61;PER;MGENG-0042;%;
62;SLV;MGENG-0042;%;
63;VEN;MGENG-0042;%;
64;VUT;MGENG-0042;%;
65;ALB;MGENG-0044;%;
66;BGR;MGENG-0044;%;
67;CYP;MGENG-0044;%;
68;DZA;MGENG-0044;%;
69;EGY;MGENG-0044;%;
70;ESP;MGENG-0044;%;
71;EUU;MGENG-0044;%;
72;FRA;MGENG-0044;%;
